text,label
Between 2000 and 200,chatgpt
The Arts: What is your favorite painting and why?,human
What are some ways to initiate a conversation with a shy girl?,chatgpt
Which type of people are choose to become Yampurshas by Yamraj?,human
Jonas is featured in a Flaunt magazine spread grabbing his crotch while wearing a pair of Calvin Klein underwear.,human
What was your experience like after finishing the TCS ILP training in Trivandrum?,chatgpt
Is  an IQ of 250 desirable for a 13 year old?,human
My 13 year old daughter either wants an iPhone 6s or iPhone 6s Plus. Which one should I get her?,human
What are the initial steps to start an online store?,chatgpt
Love warning songs model name?,human
Can you recommend some top escort services available in Bangalore?,chatgpt
Which websites offer the most effective resources for mastering Oracle SQL and PL/SQL?,chatgpt
What are the various methods to make money online in India?,chatgpt
Which is better: Blender or 3ds Max?,human
"""In the upcoming week",chatgpt
What is the Dutch perception of Afrikaners?,chatgpt
Can I really jailbreak iOS 10.0.2?,human
What is the top website that offers premium resume templates/layouts for free download?,chatgpt
"In 2000, the Ave Maria School of Law, a Roman Catholic law school established by Domino's Pizza founder Tom Monaghan, opened in northeastern Ann Arbor, but the school moved to Ave Maria, Florida in 2009, and the Thomas M. Cooley Law School acquired the former Ave Maria buildings for use as a branch campus.",human
He stated that it was the correct choice to remain in Florida for an additional day after his wife Victoria's cesarean sectio,chatgpt
"How does the meaning of ""son of bitch"" differ from ""son of whore""?",chatgpt
Are there any sad stories on Quora?,human
What will be your final thoughts as you take your last breath?,chatgpt
Can I reach the event horizon of a black hole at any point in time?,chatgpt
A probabilistic Turing machine is a deterministic Turing machine with an extra supply of random bits.,human
What is intellectualism?,human
Is there any reservation for freedom fighter in Afact?,human
"Other industries include software, automotive, ports, finance, tourism, biomedical, and regional logistics.",human
Does the law of IPC 494 apply to Indian Muslims?,chatgpt
How do I design columns?,human
What are my options after gaining knowledge on Java and OOP basics? ,chatgpt
What is the description of the different stages of the cell cycle?,chatgpt
"Initially created to link researchers to the nation's NSF-funded supercomputing centers, through further public funding and private industry partnerships it developed into a major part of the Internet backbone.",human
